"e","# Acetin Weight
# CS1400 - LO1 XL
# Assignment ??","","0","1612384686376","task1.py",""
"k","t","","85","1612384823057","task1.py",""
"e","i","","85","1612384823089","task1.py",""
"k","i","","86","1612384823089","task1.py",""
"e","o","","86","1612384823152","task1.py",""
"k","o","","87","1612384823153","task1.py",""
"e","n","","87","1612384823280","task1.py",""
"k","n","","88","1612384823281","task1.py",""
"a","Enter","","","1612384823435","task1.py",""
"e","
","","88","1612384823441","task1.py",""
"e","p","","89","1612384824656","task1.py",""
"k","p","","90","1612384824657","task1.py",""
"e","r","","90","1612384824746","task1.py",""
"k","r","","91","1612384824755","task1.py",""
"e","i","","91","1612384824841","task1.py",""
"k","i","","92","1612384824848","task1.py",""
"e","n","","92","1612384824905","task1.py",""
"k","n","","93","1612384824910","task1.py",""
"e","t","","93","1612384824969","task1.py",""
"k","t","","94","1612384824975","task1.py",""
"e","(","","94","1612384825373","task1.py",""
"e",")","","95","1612384825380","task1.py",""
"k","(","","95","1612384825380","task1.py",""
"k",")","","96","1612384825420","task1.py",""
"a","Down","","","1612384825787","task1.py",""
"a","Left","","","1612384826332","task1.py",""
"e","""","","95","1612384827120","task1.py",""
"e","""","","96","1612384827126","task1.py",""
"k","""","","96","1612384827127","task1.py",""
"k","""","","97","1612384827244","task1.py",""
"a","Left","","","1612384827668","task1.py",""
"e","W","","96","1612384828257","task1.py",""
"k","W","","97","1612384828258","task1.py",""
"e","e","","97","1612384828488","task1.py",""
"k","e","","98","1612384828489","task1.py",""
"e","l","","98","1612384828609","task1.py",""
"k","l","","99","1612384828609","task1.py",""
"e","c","","99","1612384828673","task1.py",""
"k","c","","100","1612384828674","task1.py",""
"e","o","","100","1612384828777","task1.py",""
"k","o","","101","1612384828778","task1.py",""
"e","m","","101","1612384828873","task1.py",""
"k","m","","102","1612384828874","task1.py",""
"e","e","","102","1612384828905","task1.py",""
"k","e","","103","1612384828906","task1.py",""
"e"," ","","103","1612384829065","task1.py",""
"k"," ","","104","1612384829066","task1.py",""
"e","t","","104","1612384829129","task1.py",""
"k","t","","105","1612384829130","task1.py",""
"e","o","","105","1612384829225","task1.py",""
"k","o","","106","1612384829226","task1.py",""
"e"," ","","106","1612384829393","task1.py",""
"k"," ","","107","1612384829394","task1.py",""
"e","t","","107","1612384829457","task1.py",""
"k","t","","108","1612384829458","task1.py",""
"e","h","","108","1612384829553","task1.py",""
"k","h","","109","1612384829553","task1.py",""
"e","e","","109","1612384829618","task1.py",""
"k","e","","110","1612384829619","task1.py",""
"e"," ","","110","1612384829745","task1.py",""
"k"," ","","111","1612384829746","task1.py",""
"e","g","","111","1612384829817","task1.py",""
"k","g","","112","1612384829818","task1.py",""
"e","u","","112","1612384829921","task1.py",""
"k","u","","113","1612384829921","task1.py",""
"e","e","","113","1612384829977","task1.py",""
