"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1611639488983","main.py",""
"k","A","","53","1611640256960","Variables.py",""
"a","Backspace","","","1611640257644","Variables.py",""
"e","","A","52","1611640257662","Variables.py",""
"a","Backspace","","","1611640257826","Variables.py",""
"e","","r","51","1611640257837","Variables.py",""
"e","R","","51","1611640258452","Variables.py",""
"k","R","","52","1611640258455","Variables.py",""
"e","A","","52","1611640258588","Variables.py",""
"k","A","","53","1611640258591","Variables.py",""
"a","Backspace","","","1611640259309","Variables.py",""
"e","","A","52","1611640259321","Variables.py",""
"a","Backspace","","","1611640259503","Variables.py",""
"e","","R","51","1611640259518","Variables.py",""
"e","r","","51","1611640260227","Variables.py",""
"k","r","","52","1611640260228","Variables.py",""
"e","a","","52","1611640260355","Variables.py",""
"k","a","","53","1611640260372","Variables.py",""
"e","d","","53","1611640260662","Variables.py",""
"k","d","","54","1611640260695","Variables.py",""
"e","i","","54","1611640260902","Variables.py",""
"k","i","","55","1611640260904","Variables.py",""
"a","Backspace","","","1611640261326","Variables.py",""
"e","","i","54","1611640261336","Variables.py",""
"e","i","","54","1611640263254","Variables.py",""
"k","i","","55","1611640263257","Variables.py",""
"e","u","","55","1611640263400","Variables.py",""
"k","u","","56","1611640263402","Variables.py",""
"e","s","","56","1611640263616","Variables.py",""
"k","s","","57","1611640263619","Variables.py",""
"e"," ","","57","1611640264351","Variables.py",""
"k"," ","","58","1611640264353","Variables.py",""
"e","=","","58","1611640264792","Variables.py",""
"k","=","","59","1611640264794","Variables.py",""
"e"," ","","59","1611640264895","Variables.py",""
"k"," ","","60","1611640264897","Variables.py",""
"e","i","","60","1611640268684","Variables.py",""
"k","i","","61","1611640268686","Variables.py",""
"e","n","","61","1611640268883","Variables.py",""
"k","n","","62","1611640268898","Variables.py",""
"e","p","","62","1611640269085","Variables.py",""
"k","p","","63","1611640269106","Variables.py",""
"e","u","","63","1611640269250","Variables.py",""
"k","u","","64","1611640269269","Variables.py",""
"e","t","","64","1611640269406","Variables.py",""
"k","t","","65","1611640269422","Variables.py",""
"e","(","","65","1611640270455","Variables.py",""
"e",")","","66","1611640270466","Variables.py",""
"k","(","","66","1611640270467","Variables.py",""
"e","""","","66","1611640271843","Variables.py",""
"e","""","","67","1611640271855","Variables.py",""
"k","""","","67","1611640271856","Variables.py",""
"e","e","","67","1611640272953","Variables.py",""
"k","e","","68","1611640272955","Variables.py",""
"e","n","","68","1611640273048","Variables.py",""
"k","n","","69","1611640273050","Variables.py",""
"e","d","","69","1611640273216","Variables.py",""
"k","d","","70","1611640273217","Variables.py",""
"a","Backspace","","","1611640273886","Variables.py",""
"e","","d","69","1611640273899","Variables.py",""
"e","t","","69","1611640273989","Variables.py",""
"k","t","","70","1611640273991","Variables.py",""
"e","e","","70","1611640274133","Variables.py",""
"k","e","","71","1611640274135","Variables.py",""
"e","r","","71","1611640274235","Variables.py",""
"k","r","","72","1611640274237","Variables.py",""
"e"," ","","72","1611640274389","Variables.py",""
"k"," ","","73","1611640274391","Variables.py",""
"e","v","","73","1611640277303","Variables.py",""
"k","v","","74","1611640277304","Variables.py",""
"e","a","","74","1611640277396","Variables.py",""
"k","a","","75","1611640277398","Variables.py",""
"e","l","","75","1611640277543","Variables.py",""
"k","l","","76","1611640277546","Variables.py",""
"e","u","","76","1611640277809","Variables.py",""
"k","u","","77","1611640277811","Variables.py",""
"e","e","","77","1611640278023","Variables.py",""
"k","e","","78","1611640278026","Variables.py",""
"e"," ","","78","1611640278140","Variables.py",""
"k"," ","","79","1611640278142","Variables.py",""
"e","h","","79","1611640278597","Variables.py",""
"k","h","","80","1611640278599","Variables.py",""
"e","e","","80","1611640278692","Variables.py",""
"k","e","","81","1611640278693","Variables.py",""
"e","r","","81","1611640278843","Variables.py",""
"k","r","","82","1611640278845","Variables.py",""
"e","e","","82","1611640278996","Variables.py",""
"k","e","","83","1611640278998","Variables.py",""
"a","Backspace","","","1611640294066","Variables.py",""
"e","","4","108","1611640294084","Variables.py",""
"e","r","","108","1611640294422","Variables.py",""
"k","r","","109","1611640294424","Variables.py",""
"e","a","","109","1611640294614","Variables.py",""
"k","a","","110","1611640294628","Variables.py",""
"e","d","","110","1611640294819","Variables.py",""
"k","d","","111","1611640294834","Variables.py",""
"e","i","","111","1611640295194","Variables.py",""
"k","i","","112","1611640295207","Variables.py",""
"e","u","","112","1611640295417","Variables.py",""
"k","u","","113","1611640295428","Variables.py",""
"e","s","","113","1611640295529","Variables.py",""
"k","s","","114","1611640295543","Variables.py",""
"a","Enter","","","1611640295774","Variables.py",""
"e","
","","114","1611640295793","Variables.py",""
"e","     ","","115","1611640295817","Variables.py",""
"a","Undo Typing","","","1611640297561","Variables.py",""
"e","","     ","115","1611640297580","Variables.py",""
"e","","
","114","1611640297591","Variables.py",""
"e","e","","60","1611640308963","Variables.py",""
"k","e","","61","1611640308965","Variables.py",""
"e","v","","61","1611640309269","Variables.py",""
"k","v","","62","1611640309281","Variables.py",""
"e","a","","62","1611640309369","Variables.py",""
"k","a","","63","1611640309387","Variables.py",""
"e","l","","63","1611640309475","Variables.py",""
"k","l","","64","1611640309492","Variables.py",""
"e","(","","64","1611640310616","Variables.py",""
"k","(","","65","1611640310618","Variables.py",""
"e",")","","90","1611640313173","Variables.py",""
"k",")","","91","1611640313175","Variables.py",""
"t","Lockout:452448.0","","91","1611640771610","Variables.py",""
"t","Response:452448.0","","91","1611641535922","Variables.py",""
"t","OFF:452448.0","","91","1611641541983","Variables.py",""
"t","Lockout:452448.0","","91","1611648824536","Variables.py",""
"t","Response:452448.0","","91","1611696311178","Variables.py",""
"t","OFF:452448.0","","91","1611696312205","Variables.py",""
"e","# Mitch Brotherson
# CS1400 - CO1
# Assignment ??","","0","1612204001661","task1.py",""
"e","
","","49","1612204001869","task1.py",""
"a","Backspace","","","1612204004742","task1.py",""
"e","","?","48","1612204004776","task1.py",""
"a","Backspace","","","1612204004840","task1.py",""
"e","","?","47","1612204004853","task1.py",""
"e","2","","47","1612204005826","task1.py",""
"k","2","","48","1612204005831","task1.py",""
"a","Enter","","","1612204007858","task1.py",""
"e","
","","49","1612204007893","task1.py",""
"a","Enter","","","1612204007967","task1.py",""
"e","
","","50","1612204007978","task1.py",""
"a","Close Active Editor","","","1612204019708","task1.py",""
"a","Close Active Editor","","","1612204023653","task1.py",""
"a","Create New Scratch File","","","1612204047940","task1.py",""
"a","Renaming file scratch.html to task1 notes.html","","","1612204066624","task1.py",""
"e","n","","51","1612204851446","task1.py",""
"k","n","","52","1612204851446","task1.py",""
"a","Backspace","","","1612204851770","task1.py",""
"e","","n","51","1612204851781","task1.py",""
"e","i","","51","1612204870909","task1.py",""
"k","i","","52","1612204870910","task1.py",""
"e","n","","52","1612204871139","task1.py",""
"k","n","","53","1612204871157","task1.py",""
"e","p","","53","1612204871496","task1.py",""
"k","p","","54","1612204871509","task1.py",""
"a","Choose Lookup Item Replace","","","1612204872845","task1.py",""
"e","ut","","54","1612204872860","task1.py",""
"e","(","","56","1612204872903","task1.py",""
"e",")","","57","1612204872912","task1.py",""
"e","""","","57","1612204886760","task1.py",""
"e","""","","58","1612204886772","task1.py",""
"k","""","","58","1612204886772","task1.py",""
"e","e","","58","1612204887402","task1.py",""
"k","e","","59","1612204887403","task1.py",""
"e","n","","59","1612204887600","task1.py",""
"k","n","","60","1612204887602","task1.py",""
"e","t","","60","1612204887902","task1.py",""
"k","t","","61","1612204887904","task1.py",""
"e","e","","61","1612204888048","task1.py",""
"k","e","","62","1612204888048","task1.py",""
"e","r","","62","1612204888149","task1.py",""
"k","r","","63","1612204888150","task1.py",""
"e"," ","","63","1612204888578","task1.py",""
"k"," ","","64","1612204888579","task1.py",""
"e","n","","64","1612204888823","task1.py",""
"k","n","","65","1612204888824","task1.py",""
"e","u","","65","1612204889073","task1.py",""
"k","u","","66","1612204889075","task1.py",""
"e","m","","66","1612204889310","task1.py",""
"k","m","","67","1612204889310","task1.py",""
"e","b","","67","1612204889365","task1.py",""
"k","b","","68","1612204889366","task1.py",""
"e","e","","68","1612204889607","task1.py",""
"k","e","","69","1612204889607","task1.py",""
"e","r","","69","1612204889697","task1.py",""
"k","r","","70","1612204889698","task1.py",""
"e"," ","","70","1612204889971","task1.py",""
"k"," ","","71","1612204889971","task1.py",""
"e","o","","71","1612204890312","task1.py",""
"k","o","","72","1612204890313","task1.py",""
"e","f","","72","1612204890390","task1.py",""
"k","f","","73","1612204890390","task1.py",""
"e"," ","","73","1612204890516","task1.py",""
